Chunk,Pretraining,Model,Macro F1
Fragment 64,None,CNN,0.3932
Fragment 64,None,AWD-LSTM,0.331
Fragment 64,None,RoBERTa,0.452
Fragment 64,None,GPT-2,0.441
Fragment 64,Labeled,AWD-LSTM,0.506
Fragment 64,Labeled,RoBERTa,0.591
Fragment 64,Labeled,GPT-2,0.598
Fragment 64,Unlabeled,AWD-LSTM,0.466
Fragment 64,Unlabeled,RoBERTa,0.612
Fragment 64,Unlabeled,GPT-2,0.601
Fragment 128,None,CNN,0.3324
Fragment 128,None,AWD-LSTM,0.342
Fragment 128,None,RoBERTa,0.438
Fragment 128,None,GPT-2,0.43
Fragment 128,Labeled,AWD-LSTM,0.475
Fragment 128,Labeled,RoBERTa,0.56
Fragment 128,Labeled,GPT-2,0.531
Fragment 128,Unlabeled,AWD-LSTM,0.469
Fragment 128,Unlabeled,RoBERTa,0.579
Fragment 128,Unlabeled,GPT-2,0.578
Fragment 256,None,CNN,0.3143
Fragment 256,None,AWD-LSTM,0.453
Fragment 256,None,RoBERTa,0.414
Fragment 256,None,GPT-2,0.401
Fragment 256,Labeled,AWD-LSTM,0.595
Fragment 256,Labeled,RoBERTa,0.539
Fragment 256,Labeled,GPT-2,0.496
Fragment 256,Unlabeled,AWD-LSTM,0.556
Fragment 256,Unlabeled,RoBERTa,0.551
Fragment 256,Unlabeled,GPT-2,0.523
